player_id,player_name,player_firstName,player_lastName,player_birthDate,player_birthCity,player_birthCity_Lat,player_birthCity_Long,player_birthCountry,player_birthStateProvince,player_nationality,player_height,player_weight,player_shootsCatches,player_primaryPositionCode
8457849,Ed Ronan,Ed,Ronan,1968-03-21,Quincy,42.2516,-71.0183,USA,MA,USA,"6' 0""",197,R,R
8457969,Corey Schwab,Corey,Schwab,1970-11-04,North Battleford,52.7575,-108.286,CAN,SK,CAN,"6' 0""",180,L,G
8457981,Teemu Selanne,Teemu,Selanne,1970-07-03,Helsinki,60.1756,24.9342,FIN,,FIN,"6' 0""",209,R,R
8457983,Alexander Semak,Alexander,Semak,1966-02-11,Ufa,54.7333,55.9667,RUS,,RUS,"5' 10""",190,R,C
8458031,Chris Simon,Chris,Simon,1972-01-30,Wawa,-16.035,34.801,CAN,ON,CAN,"6' 3""",232,L,L
8458036,Reid Simpson,Reid,Simpson,1969-05-21,Flin Flon,54.7667,-101.878,CAN,MB,CAN,"6' 2""",216,L,L
8458048,John Slaney,John,Slaney,1972-02-07,St. John's,47.4817,-52.7971,CAN,NL,CAN,"6' 0""",190,L,D
8458052,Jiri Slegr,Jiri,Slegr,1971-05-30,Jihlava,49.4003,15.5906,CZE,,CZE,"6' 1""",210,L,D
8458058,Richard Smehlik,Richard,Smehlik,1970-01-23,Ostrava,49.8356,18.2925,CZE,,CZE,"6' 3""",230,L,D
8458125,Turner Stevenson,Turner,Stevenson,1972-05-18,Prince George,53.9169,-122.749,CAN,BC,CAN,"6' 3""",230,R,R
8458172,Darryl Sydor,Darryl,Sydor,1972-05-13,Edmonton,53.5344,-113.49,CAN,AB,CAN,"6' 1""",211,L,D
8458192,Tim Taylor,Tim,Taylor,1969-02-06,Stratford,51.5423,-0.0026,CAN,ON,CAN,"6' 1""",190,L,C
8458266,Roman Turek,Roman,Turek,1970-05-21,Strakonice,49.2615,13.9024,CZE,,CZE,"6' 4""",222,R,G
8458361,Doug Weight,Doug,Weight,1971-01-21,Detroit,42.3834,-83.1024,USA,MI,USA,"5' 11""",202,L,C
8458483,Valeri Zelepukin,Valeri,Zelepukin,1968-09-17,Voskresensk,55.3167,38.6833,RUS,,RUS,"6' 1""",200,L,L
8458494,Sergei Zubov,Sergei,Zubov,1970-07-22,Moscow,55.7558,37.6178,RUS,,RUS,"6' 1""",198,R,D
8458517,Scott Niedermayer,Scott,Niedermayer,1973-08-31,Edmonton,53.5344,-113.49,CAN,AB,CAN,"6' 1""",194,L,D
8458519,Aaron Ward,Aaron,Ward,1973-01-17,Windsor,42.2833,-83.0,CAN,ON,CAN,"6' 2""",209,R,D
8458520,Peter Forsberg,Peter,Forsberg,1973-07-20,Ornskoldsvik,63.318,18.7167,SWE,,SWE,"6' 0""",205,L,C
8458522,Richard Matvichuk,Richard,Matvichuk,1973-02-05,Edmonton,53.5344,-113.49,CAN,AB,CAN,"6' 3""",210,L,D
8458524,Martin Lapointe,Martin,Lapointe,1973-09-12,Ville St. Pierre,,,CAN,QC,CAN,"5' 11""",215,R,R
8458525,Brian Rolston,Brian,Rolston,1973-02-21,Flint,43.0235,-83.6922,USA,MI,USA,"6' 2""",215,L,R
8458527,Philippe Boucher,Philippe,Boucher,1973-03-24,St. Apollinaire,,,CAN,QC,CAN,"6' 3""",218,R,D
8458529,Alex Kovalev,Alex,Kovalev,1973-02-24,Togliatti,,,RUS,,RUS,"6' 2""",222,L,R
8458534,Martin Rucinsky,Martin,Rucinsky,1971-03-11,Most,43.3494,17.8125,CZE,,CZE,"6' 1""",205,L,L
8458537,Ray Whitney,Ray,Whitney,1972-05-08,Fort Saskatchewan,53.7128,-113.213,CAN,AB,CAN,"5' 10""",180,R,L
8458538,Rene Corbet,Rene,Corbet,1973-06-25,Victoriaville,46.05,-71.9667,CAN,QC,CAN,"6' 0""",187,L,L
8458543,Jassen Cullimore,Jassen,Cullimore,1972-12-04,Simcoe,,,CAN,ON,CAN,"6' 5""",235,L,D
8458544,Sandis Ozolinsh,Sandis,Ozolinsh,1972-08-03,Riga,56.9475,24.1069,LVA,,LVA,"6' 3""",215,L,D
8458546,Jamie Pushor,Jamie,Pushor,1973-02-11,Lethbridge,49.6942,-112.833,CAN,AB,CAN,"6' 3""",218,R,D
8458557,Craig Darby,Craig,Darby,1972-09-26,Oneida,43.0769,-75.6621,USA,NY,USA,"6' 3""",205,R,C
8458568,Chris Osgood,Chris,Osgood,1972-11-26,Peace River,56.2339,-117.29,CAN,AB,CAN,"5' 10""",180,L,G
8458590,Mike Knuble,Mike,Knuble,1972-07-04,Toronto,43.7417,-79.3733,CAN,ON,USA,"6' 3""",229,R,R
8458637,Sean O'Donnell,Sean,O'Donnell,1971-10-13,Ottawa,45.4247,-75.695,CAN,ON,CAN,"6' 2""",238,L,D
8458641,Oleg Petrov,Oleg,Petrov,1971-04-18,Moscow,55.7558,37.6178,RUS,,RUS,"5' 9""",172,L,R
8458666,Kelly Fairchild,Kelly,Fairchild,1973-04-09,Hibbing,47.3981,-92.9487,USA,MN,USA,"5' 11""",198,L,C
8458672,Dmitri Mironov,Dmitri,Mironov,1965-12-25,Moscow,55.7558,37.6178,RUS,,RUS,"6' 4""",227,R,D
8458805,Janne Laukkanen,Janne,Laukkanen,1970-03-19,Lahti,60.9833,25.6556,FIN,,FIN,"6' 1""",187,L,D
8458943,Cory Stillman,Cory,Stillman,1973-12-20,Peterborough,44.3,-78.3167,CAN,ON,CAN,"6' 0""",193,L,L
8458951,Sergei Gonchar,Sergei,Gonchar,1974-04-13,Chelyabinsk,55.15,61.4,RUS,,RUS,"6' 2""",210,L,D
8458954,Jason Smith,Jason,Smith,1973-11-02,Calgary,51.05,-114.067,CAN,AB,CAN,"6' 3""",220,R,D
8458959,Grant Marshall,Grant,Marshall,1973-06-09,Mississauga,43.6,-79.65,CAN,ON,CAN,"6' 1""",200,R,R
8458964,Paul Brousseau,Paul,Brousseau,1973-09-18,Pierrefonds,,,CAN,QC,CAN,"6' 2""",212,R,R
8458978,Sergei Brylin,Sergei,Brylin,1974-01-13,Moscow,55.7558,37.6178,RUS,,RUS,"5' 10""",190,L,L
8458982,Darren McCarty,Darren,McCarty,1972-04-01,Burnaby,49.2667,-122.967,CAN,BC,CAN,"6' 1""",210,R,R
8458984,Mattias Norstrom,Mattias,Norstrom,1972-01-02,Stockholm,59.3294,18.0686,SWE,,SWE,"6' 2""",210,L,D
8458988,Manny Fernandez,Manny,Fernandez,1974-08-27,Etobicoke,,,CAN,ON,CAN,"6' 0""",207,L,G
8459001,Kirk Maltby,Kirk,Maltby,1972-12-22,Guelph,43.55,-80.25,CAN,ON,CAN,"6' 0""",195,R,L
8459010,Aaron Gavey,Aaron,Gavey,1974-02-22,Sudbury,51.5537,-0.3199,CAN,ON,CAN,"6' 2""",189,L,C
8459024,Jere Lehtinen,Jere,Lehtinen,1973-06-24,Espoo,60.21,24.66,FIN,,FIN,"6' 0""",194,R,R
8459122,Stephane Yelle,Stephane,Yelle,1974-05-09,Ottawa,45.4247,-75.695,CAN,ON,CAN,"6' 2""",182,L,C
8459140,Nikolai Khabibulin,Nikolai,Khabibulin,1973-01-13,Sverdlovsk,,,RUS,,RUS,"6' 1""",208,L,G
8459223,Pascal Rheaume,Pascal,Rheaume,1973-06-21,Quebec City,46.8139,-71.2081,CAN,QC,CAN,"6' 1""",210,L,C
8459308,Manny Legace,Manny,Legace,1973-02-04,Toronto,43.7417,-79.3733,CAN,ON,CAN,"5' 10""",200,L,G
8459357,Kevin Hodson,Kevin,Hodson,1972-03-27,Winnipeg,49.8844,-97.1464,CAN,MB,CAN,"6' 0""",182,L,G
8459424,Chris Pronger,Chris,Pronger,1974-10-10,Dryden,42.4786,-76.3563,CAN,ON,CAN,"6' 6""",220,L,D
8459427,Rob Niedermayer,Rob,Niedermayer,1974-12-28,Cassiar,,,CAN,BC,CAN,"6' 2""",203,L,C
8459429,Jason Arnott,Jason,Arnott,1974-10-11,Collingwood,44.5,-80.2167,CAN,ON,CAN,"6' 5""",220,R,C
