goalie_stats_id,player_id,season_id,goalie_stats_age,goalie_stats_timeOnIce,goalie_stats_goalie_ot,goalie_stats_goalie_shutouts,goalie_stats_goalie_ties,goalie_stats_wins,goalie_stats_goalie_losses,goalie_stats_saves,goalie_stats_powerPlaySaves,goalie_stats_powerPlayPoints,goalie_stats_shortHandedSaves,goalie_stats_shortHandedShots,goalie_stats_evenShots,goalie_stats_powerPlayShot,goalie_stats_savePercentage,goalie_stats_goalAgainstAverage,goalie_stats_games,goalie_stats_gamesStarted,goalie_stats_shotsAgainst,goalie_stats_goalie_goalsAgainst,goalie_stats_timeOnIcePerGame,goalie_stats_powerPlaySavePercentage,goalie_stats_shortHandedSavePercentage,goalie_stats_evenStrengthSavePercentage
,8466339,20022003,26,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8467364,20002001,21,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8467430,20082009,29,989:26,2,0,0,6,8,416,81,14,321,15,354,94,0.898488,2.850116,19,16,463,47,52:04,86.17021276595744,93.33333333333333,90.67796610169492
,8467900,20022003,22,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8467959,20062007,27,88:11,0,0,0,1,0,29,6,2,21,3,22,6,0.935484,1.360801,2,1,31,2,44:05,100.0,66.66666666666666,95.45454545454545
,8468524,20062007,27,1508:31,6,1,0,10,8,606,140,19,447,20,493,155,0.907186,2.465999,27,26,668,62,55:52,90.32258064516128,95.0,90.66937119675457
,8469548,20122013,31,1116:00,0,3,0,17,1,424,58,12,354,14,382,64,0.921739,1.935484,21,19,460,36,53:08,90.625,85.71428571428571,92.67015706806284
,8469658,20092010,35,2731:55,4,4,0,26,14,969,171,16,782,17,873,193,0.894737,2.504363,48,46,1083,114,56:54,88.60103626943005,94.11764705882352,89.5761741122566
,8469675,20052006,32,3492:53,6,3,0,38,14,1557,269,84,1113,91,1215,322,0.905759,2.782801,60,57,1719,162,58:12,83.54037267080744,92.3076923076923,91.60493827160494
,8470147,20192020,37,1080:56,3,1,0,8,7,499,80,16,403,18,441,92,0.906,2.8864,18,18,551,52,60:03,86.95652173913044,88.88888888888889,91.38321995464852
,8470320,20052006,22,1484:00,2,0,0,14,8,682,145,38,500,44,557,172,0.882277,3.679245,28,25,773,91,53:00,84.30232558139535,86.36363636363636,89.76660682226212
,8470594,20082009,25,3640:59,7,4,0,35,18,1688,319,59,1310,68,1421,361,0.912432,2.669608,62,61,1850,162,58:43,88.36565096952909,86.76470588235294,92.18859957776215
,8470645,20092010,26,59:13,0,0,0,0,1,32,5,0,27,1,29,5,0.914286,3.039685,1,1,35,3,59:13,100.0,0.0,93.10344827586206
,8470657,20072008,24,197:04,0,0,0,0,2,88,21,3,64,3,69,23,0.926316,2.131258,4,2,95,7,49:16,91.30434782608695,100.0,92.7536231884058
,8471526,20062007,22,201:42,0,0,0,2,2,71,27,4,40,4,44,33,0.876543,2.974715,4,3,81,10,50:25,81.81818181818183,100.0,90.9090909090909
