player_id,player_name,player_firstName,player_lastName,player_birthDate,player_birthCity,player_birthCountry,player_birthStateProvince,player_nationality,player_height,player_weight,player_shootsCatches,player_primaryPositionCode
8475913,Mark Stone,Mark,Stone,1992-05-13,Winnipeg,CAN,MB,CAN,"6' 3""",217,R,R
8476147,Kael Mouillierat,Kael,Mouillierat,1987-12-09,Edmonton,CAN,AB,CAN,"6' 0""",188,L,L
8476162,Steve Oleksy,Steve,Oleksy,1986-02-04,Chesterfield,USA,MI,USA,"5' 11""",188,R,D
8476195,Cory Conacher,Cory,Conacher,1989-12-14,Burlington,CAN,ON,CAN,"5' 8""",185,L,C
8476292,Ondrej Palat,Ondrej,Palat,1991-03-28,Frydek-Mistek,CZE,N/A,CZE,"6' 0""",194,L,L
8476293,Scott Wilson,Scott,Wilson,1992-04-24,Oakville,CAN,ON,CAN,"5' 11""",177,L,C
8476302,Frank Corrado,Frank,Corrado,1993-03-26,Toronto,CAN,ON,CAN,"6' 0""",205,R,D
8476312,Josh Manson,Josh,Manson,1991-10-07,Hinsdale,USA,IL,CAN,"6' 3""",218,R,D
8476316,Laurent Brossoit,Laurent,Brossoit,1993-03-23,Port Alberni,CAN,BC,CAN,"6' 3""",215,L,G
8476326,Josh Archibald,Josh,Archibald,1992-10-06,Regina,CAN,SK,CAN,"5' 10""",176,R,R
8476329,Travis Boyd,Travis,Boyd,1993-09-14,Hopkins,USA,MN,USA,"6' 0""",190,R,C
8476344,Tyler Graovac,Tyler,Graovac,1993-04-27,Brampton,CAN,ON,CAN,"6' 5""",208,L,C
8476368,Fredrik Claesson,Fredrik,Claesson,1992-11-24,Stockholm,SWE,N/A,SWE,"6' 1""",196,L,D
8476381,Andrew Shaw,Andrew,Shaw,1991-07-20,Belleville,CAN,ON,CAN,"5' 11""",182,R,R
8476394,Michael Paliotta,Michael,Paliotta,1993-04-06,Westport,USA,CT,USA,"6' 4""",207,R,D
8476399,Blake Coleman,Blake,Coleman,1991-11-28,Plano,USA,TX,USA,"5' 11""",199,L,C
8476403,Klas Dahlbeck,Klas,Dahlbeck,1991-07-06,Katrineholm,SWE,N/A,SWE,"6' 3""",207,L,D
8476412,Jordan Binnington,Jordan,Binnington,1993-07-11,Richmond Hill,CAN,ON,CAN,"6' 2""",172,L,G
8476431,Adam Clendening,Adam,Clendening,1992-10-26,Niagara Falls,USA,NY,USA,"6' 0""",194,R,D
8476438,Brandon Saad,Brandon,Saad,1992-10-27,Pittsburgh,USA,PA,USA,"6' 1""",215,L,L
8476441,Joel Edmundson,Joel,Edmundson,1993-06-28,Brandon,CAN,MB,CAN,"6' 5""",221,L,D
8476444,Christopher Gibson,Christopher,Gibson,1992-12-27,Karkkila,FIN,N/A,FIN,"6' 2""",217,L,G
8476448,William Karlsson,William,Karlsson,1993-01-08,Marsta,SWE,N/A,SWE,"6' 0""",190,L,C
8476453,Nikita Kucherov,Nikita,Kucherov,1993-06-17,Maykop,RUS,N/A,RUS,"5' 11""",181,L,R
8476455,Gabriel Landeskog,Gabriel,Landeskog,1992-11-23,Stockholm,SWE,N/A,SWE,"6' 1""",215,L,L
8476479,Phillip Danault,Phillip,Danault,1993-02-24,Victoriaville,CAN,QC,CAN,"6' 1""",200,L,C
8476539,Jonathan Marchessault,Jonathan,Marchessault,1990-12-27,Cap-Rouge,CAN,QC,CAN,"5' 9""",183,R,R
8476624,Barclay Goodrow,Barclay,Goodrow,1993-02-26,Toronto,CAN,ON,CAN,"6' 2""",204,L,C
8476769,Bobby Farnham,Bobby,Farnham,1989-01-21,North Andover,USA,MA,USA,"5' 10""",190,L,R
8476826,Yanni Gourde,Yanni,Gourde,1991-12-15,Saint-Narcisse,CAN,QC,CAN,"5' 9""",174,L,C
8476850,Ryan Murray,Ryan,Murray,1993-09-27,Regina,CAN,SK,CAN,"6' 1""",206,L,D
8476870,Stefan Matteau,Stefan,Matteau,1994-02-23,Chicago,USA,IL,USA,"6' 2""",208,L,C
8476871,Tanner Pearson,Tanner,Pearson,1992-08-10,Kitchener,CAN,ON,CAN,"6' 1""",201,L,L
8476874,Olli Maatta,Olli,Maatta,1994-08-22,Jyväskylä,FIN,N/A,FIN,"6' 2""",207,L,D
8476877,Jordan Schmaltz,Jordan,Schmaltz,1993-10-08,Madison,USA,WI,USA,"6' 2""",196,R,D
8476880,Tom Wilson,Tom,Wilson,1994-03-29,Toronto,CAN,ON,CAN,"6' 4""",220,R,R
8476882,Teuvo Teravainen,Teuvo,Teravainen,1994-09-11,Helsinki,FIN,N/A,FIN,"5' 11""",191,L,L
8476883,Andrei Vasilevskiy,Andrei,Vasilevskiy,1994-07-25,Tyumen,RUS,N/A,RUS,"6' 4""",220,L,G
8476884,Derrick Pouliot,Derrick,Pouliot,1994-01-16,Estevan,CAN,SK,CAN,"6' 0""",196,L,D
8476892,Colton Parayko,Colton,Parayko,1993-05-12,St. Albert,CAN,AB,CAN,"6' 6""",228,R,D
8476897,Oskar Sundqvist,Oskar,Sundqvist,1994-03-23,Boden,SWE,N/A,SWE,"6' 3""",220,R,C
8476899,Matt Murray,Matt,Murray,1994-05-25,Thunder Bay,CAN,ON,CAN,"6' 5""",203,L,G
8476905,Chandler Stephenson,Chandler,Stephenson,1994-04-22,Saskatoon,CAN,SK,CAN,"6' 0""",209,L,C
8476907,Mackenzie MacEachern,Mackenzie,MacEachern,1994-03-09,Bloomfield Hills,USA,MI,USA,"6' 2""",193,L,L
8476927,Teddy Blueger,Teddy,Blueger,1994-08-15,Riga,LVA,N/A,LVA,"6' 0""",185,L,C
8476966,Gemel Smith,Gemel,Smith,1994-04-16,Toronto,CAN,ON,CAN,"5' 10""",203,L,C
8476975,Cedric Paquette,Cedric,Paquette,1993-08-13,Gaspe,CAN,QC,CAN,"6' 0""",205,L,C
8477018,Ben Hutton,Ben,Hutton,1993-04-20,Brockville,CAN,ON,CAN,"6' 3""",201,L,D
8477043,Christian Djoos,Christian,Djoos,1994-08-06,Gothenburg,SWE,N/A,SWE,"6' 0""",180,L,D
8477070,Liam O'Brien,Liam,O'Brien,1994-07-29,Halifax,CAN,NS,CAN,"6' 1""",213,L,C
8477073,Kurtis MacDermid,Kurtis,MacDermid,1994-03-25,Sauble Beach,CAN,ON,CAN,"6' 5""",233,L,D
8477126,Jayson Megna,Jayson,Megna,1990-02-01,Fort Lauderdale,USA,FL,USA,"6' 1""",195,R,C
8477237,Mike Condon,Mike,Condon,1990-04-27,Holliston,USA,MA,USA,"6' 2""",196,L,G
8477240,Carter Rowney,Carter,Rowney,1989-05-10,Grande Prairie,CAN,AB,CAN,"6' 2""",208,R,C
8477243,Drew LeBlanc,Drew,LeBlanc,1989-06-29,Duluth,USA,MN,USA,"6' 0""",194,L,C
8477244,Chad Ruhwedel,Chad,Ruhwedel,1990-05-07,San Diego,USA,CA,USA,"5' 11""",191,R,D
8477293,Antti Raanta,Antti,Raanta,1989-05-12,Rauma,FIN,N/A,FIN,"6' 0""",195,L,G
8477404,Jake Guentzel,Jake,Guentzel,1994-10-06,Omaha,USA,NE,USA,"5' 11""",180,L,L
8477409,Carter Verhaeghe,Carter,Verhaeghe,1995-08-14,Toronto,CAN,ON,CAN,"6' 2""",180,L,C
8477444,Andre Burakovsky,Andre,Burakovsky,1995-02-09,Klagenfurt,AUT,N/A,SWE,"6' 3""",209,L,L
8477447,Shea Theodore,Shea,Theodore,1995-08-03,Aldergrove,CAN,BC,CAN,"6' 2""",197,L,D
8477451,Ryan Hartman,Ryan,Hartman,1994-09-20,Hilton Head Island,USA,SC,USA,"6' 0""",197,R,R
8477456,J.T. Compher,J.T.,Compher,1995-04-08,Northbrook,USA,IL,USA,"6' 0""",190,R,L
8477465,Tristan Jarry,Tristan,Jarry,1995-04-29,Surrey,CAN,BC,CAN,"6' 2""",194,L,G
8477474,Madison Bowey,Madison,Bowey,1995-04-22,Winnipeg,CAN,MB,CAN,"6' 1""",207,R,D
8477476,Artturi Lehkonen,Artturi,Lehkonen,1995-07-04,Piikkio,FIN,N/A,FIN,"5' 11""",179,L,L
8477478,William Carrier,William,Carrier,1994-12-20,LaSalle,CAN,QC,CAN,"6' 2""",218,L,L
